COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
Dimethylglycine,HMDB00092,C01026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-2-Aminobutyric Acid,HMDB00452,C02356,55001,10968,44449,95528,31690,32953,48432,21848,36807,41122,42930,21834,45259,31125,47746,43901,96934,12346,73668,64110,97274,10666,25502,48144,4785,9728,23384,25211,49266,17240,19141,10474,39760,8321,21194,26788,25884,34317,51080,30825,25504,13384,31272,25659,29516,14370,20589,44035,56963,20801,31220,26097,32073,46425
2-Aminoisobutyric Acid,HMDB01906,C03665,3399461,1350864,1885932,3349266,2914733,2372016,4168736,2577319,3361454,2714123,3090696,1062509,2836872,2743986,2058840,3776349,3198944,828680,4400914,3653031,3466412,393196,2403960,2648536,346198,1545866,1650742,1895088,2262164,1022256,2285079,449059,2831047,560680,2387424,3203015,3286573,3178101,3846047,3359714,2848290,3284889,2079006,2422141,2116925,2152364,2180437,4491722,2379574,2586616,1475091,1115349,2576997,2667100
Serine,HMDB00187,C00065,8580998,1979027,5618415,7110685,12456021,6491797,7671451,5266088,7783040,5902327,7028153,4203617,5188378,3727847,6764664,7432326,7252127,2772843,8394199,5998177,7037303,1233037,4479803,6955939,978348,2342358,5477679,5677574,5242966,3327375,4198711,1148976,5855886,783012,2701750,4858746,5143372,5056778,7598907,5735332,4745121,6744400,3556575,4275046,3668490,6108101,2915360,5069524,4656341,3520084,3190614,2307992,7226857,6373011
Hypotaurine,HMDB00965,C00519,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cytosine,HMDB00630,C00380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23199,N/A,N/A,N/A,N/A,24779,N/A
Histamine,HMDB00870,C00388,467000,167179,268174,311641,778902,332718,373923,510542,469127,286939,360475,316386,257950,214691,228717,354743,328114,185335,332193,308081,361685,74472,331670,381304,64304,207242,299393,249092,233911,159337,270944,87044,253317,61940,247087,282109,323924,239796,565529,455722,297651,482038,189105,314001,214012,454299,168222,395329,224449,235306,189106,158016,565021,374910
Creatinine,HMDB00562,C00791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5_6-Dihydrouracil,HMDB00076,C00429,476613,269177,478479,557517,508139,688759,352812,381343,435145,559555,311327,237468,503223,431113,613754,376314,529498,235470,701323,375444,633111,77871,412379,442325,56093,171079,228322,445744,254480,267525,381777,46164,446644,55039,197802,193622,407721,578204,426784,245259,176038,447728,251661,190318,184868,235567,392665,365211,428522,256651,169805,110149,314769,487569
Proline,HMDB00162,C00148,8520189,2828712,11113003,16575788,7154093,11349465,8174836,10036113,10049570,5024072,10083045,5304656,9637404,4998372,13115282,10317757,14364586,4465672,10994787,11287513,13479286,1295622,7608107,12214786,1247451,2619185,7497656,8201272,10161910,4894581,5248368,1759460,8594803,2006645,3357088,7711388,5467335,5108399,11265046,6965092,6179001,4959143,5441846,10054352,10318873,4357345,4270604,6551099,7057671,4801013,4971931,4255232,7418845,10871274
