COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
Deoxycarnitine,HMDB01161,C01181,507081,310680,603257,691634,239917,1008235,1956285,506879,658224,722786,11888,236999,898923,390796,522892,1744619,735902,405057,2141598,12950,1916700,248544,570531,1142232,181717,128504,355218,756566,532169,280679,714156,69492,502987,109948,407065,1368322,596330,543364,506050,604827,1150163,294544,839730,9992,7527,181138,480749,347168,1255017,276360,713422,770465,469848,869875
Glutamic acid,HMDB0000148,C00025,41541199,9841393,30373078,35238569,33961754,33253075,46704545,25193265,37974709,25851633,33867083,15841404,26494852,17391949,29651727,42729417,38087892,16051054,44007185,37521459,43169862,4655790,24252706,35311933,4083114,9367599,18885345,27442417,24269716,17139108,20433267,4111276,29512143,3375608,16231934,27782373,26095199,23455829,33670716,28271613,26999293,22864440,20040093,23497242,21363449,20157998,14326051,30195980,32381918,14489167,15024750,11260893,35224033,33585030
Methionine,HMDB00696,C00073,1319778,299753,838423,1403097,527245,837150,1449948,547178,947654,778358,674276,189215,653753,654158,927185,1214842,967972,244841,1290602,980202,1332059,127688,750220,1410569,79249,195416,234974,637831,1110249,454565,512533,33664,753407,59586,363366,704056,602597,640868,1049030,603632,637646,633288,497124,396747,514635,286339,585095,755040,799968,582319,458796,493340,464418,726240
Guanine,HMDB00132,C00242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cystamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histidine,HMDB00177,C00135,214203697,66799382,170140337,244824507,105213689,114462309,148851942,123227339,203209529,144730107,125373011,50948984,181454917,138732067,183788155,131473581,192091326,75531934,237947774,276489614,293396890,29391473,172245045,249727722,15503231,41886184,61765716,61326542,125582559,89598763,70525014,12664138,167629859,18134284,89491340,85454431,60471472,132959520,219704219,150460965,70875974,106005549,79843690,93519717,132481634,62893677,113900779,113554493,187787637,103464090,74516497,70527814,109587282,173335588
Serotonin,HMDB00259,C00780,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tryptamine,HMDB00303,C00398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnitine,HMDB00062,C00487,24066633,5450899,17496307,20563673,23855940,19134104,18364695,16640731,28166083,15258875,9661189,6799887,20516030,10905294,18413029,17075229,18208316,6590447,22572184,10002403,25967423,1625676,15238020,26913049,1408281,5751055,12386265,13407599,14597153,9580504,15756593,2457962,19546072,2736342,10382550,13865259,16292880,12941378,23280394,23615345,13466930,13818735,10832072,7701866,5441764,13634636,8115563,12321059,18388091,9582979,5637542,4325153,14138539,15831975
Phenylalanine,HMDB00159,C00079,27286626,5091420,14762441,22832203,8407614,11818719,28106405,10283268,18625000,11380812,14068839,4101857,13990866,8974361,19167587,25389214,16126241,6105139,23334655,19020969,23291470,2249568,14648261,31237311,1761646,2162474,4591994,7739593,13273382,6919559,6725397,894337,13230744,1340459,8092138,14223081,7644964,12259299,20333746,13056687,12432868,7234930,9481262,9130078,9900901,5023193,10481715,13881046,15216704,8682291,9273783,8606142,9127159,16452327
Methionine Sulfoxide,HMDB02005,C02989,14146008,965841,9020821,2458961,11724924,8826205,2036184,3902522,7286933,3181936,8922073,1011275,2568700,1452381,10181943,2877451,4395706,299403,8532262,11523897,5555459,1500173,2263113,5622420,872064,2248923,2806499,6167178,1604025,4766938,5824930,507964,9006266,285528,1685331,1073178,5746626,2587029,12970156,4366740,1269997,7742411,3399323,5238051,5202843,5475777,1594491,2456153,3755254,1268877,3394404,2130545,1607413,577092
7-Methylguanine,HMDB00897,C02242,113884,54612,68472,94805,98404,69614,127661,69378,118073,100932,113728,54570,52563,64984,90348,109162,127531,41319,138814,111250,109641,N/A,63854,94526,N/A,N/A,N/A,54756,74547,N/A,49733,N/A,74519,N/A,65103,75469,101606,97535,111875,105062,53446,113289,62861,81234,61385,60319,73831,196283,53511,51373,N/A,N/A,129560,99512
Normetanephrine,HMDB00819,C05589,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocyamine,HMDB03584,C01959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyridoxamine,HMDB01431,C00534,846666,262324,129822,293440,1126050,168639,742895,192915,691003,340393,518642,225734,573578,411848,133134,680739,118846,185883,160311,731759,127481,168176,137470,556033,109765,205113,643709,230381,111657,82808,134445,41932,65387,22489,126740,328027,149281,246838,288002,251385,299242,489321,90546,248450,238663,294165,161389,94161,115584,251140,175108,133656,319110,241092
1/3-Methylhistidine,HMDB00001,C01152,475941,141162,249431,493627,328584,463177,165538,277622,559951,278280,232842,204609,318881,322849,266138,220235,546504,221265,416496,403506,587910,63005,281015,520286,31759,117161,138705,199941,235816,123752,202422,39687,264561,40591,191629,133803,224133,265031,629512,503172,91564,252014,176727,193289,240287,179272,232988,271427,348830,208696,117372,109816,388318,475125
Norepinephrine,HMDB00216,C00547,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Glycylproline,HMDB00721,N/A,699925,189329,508768,770281,240961,459049,753104,281748,567233,389307,347004,113246,469073,315089,602350,636364,582977,135824,622077,494430,622623,53659,406367,744926,60569,72289,164813,209081,392180,228763,221184,48177,465957,66081,226784,354032,240248,404643,502004,437244,353349,247127,212474,233802,306794,145812,346925,439056,370808,288913,221046,258538,222805,463081
Arginine,HMDB00517,C00062,188537240,60118704,132648460,185263010,117898941,173081734,169717174,120473661,158188780,125357663,128845665,54799447,144586040,93029830,156712398,161202416,173496426,78632057,197333276,156817614,172689295,18997110,132488836,168469636,12656950,41562421,65126508,133933630,104123417,75803273,119206714,10947704,127036386,12161578,65635922,91116734,127517485,113128271,156160790,111354520,85213745,81882873,80694240,83752008,81833166,60565938,86368240,124505977,114464711,72920898,63895910,44865600,105252111,140902236
N-Acetylornithine,HMDB03357,C00437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cotinine,HMDB01046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteinyl-Glycine (Cys-Gly),HMDB0000078,C01419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gluconolactone,HMDB00150,C00198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine,HMDB0001514,C00329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theobromine,HMDB02825,C07480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_7-Dimethylxanthine,HMDB01860,C13747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyrosine,HMDB00158,C00082,2046451,847229,2233235,2961973,1217047,2505981,2389792,2311176,2789429,1566771,1324257,1181716,1609965,1375146,2731085,3181286,2679927,1007413,2241787,1552414,2659299,525901,2292419,4182993,607964,477189,1092214,1940967,1538165,776871,842537,294608,1204754,249658,765362,1938241,849098,1280090,2138659,1466135,1596490,1064599,1334713,1020113,1218886,513143,1200051,764791,1426872,917125,1299302,1063843,995384,1678358
Epinephrine,HMDB00068,C00788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Se-Methylselenocysteine,HMDB04113,C05689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphorylcholine,HMDB01565,C00588,638192,133763,407158,501522,1491422,1379283,298313,989734,829437,402899,546221,230258,517192,253749,752065,288206,766357,170569,749222,1052854,501487,70864,591858,361050,21487,232567,555925,1122803,193833,270598,1168793,93223,575928,55197,154298,110045,1289700,357488,622383,402101,104436,746545,177783,251449,342399,591649,219673,425805,272107,181242,103454,78091,611563,391256
N6-Acetyl-Lysine,HMDB00206,C02727,934315,160826,436194,514523,375081,542986,635414,186740,548968,428211,816579,186663,544304,288195,547136,584869,433451,245360,859393,1395324,739987,57502,178264,704639,65865,111259,164573,396419,301176,237915,356472,24215,517221,65596,269481,344725,432204,448810,702896,400618,298828,255563,310762,471618,553004,191485,304417,480956,485903,285515,215226,190020,397441,669943
Homoarginine,HMDB00670,C01924,387693,155635,1239605,814508,219545,265842,464152,521592,272887,360445,1064726,180338,560750,208367,1659540,487392,793526,264283,984452,1002988,622218,44078,635138,340158,41308,85465,157876,150087,394649,455897,116025,37111,1024805,70536,109270,226642,198716,307184,437280,213692,182897,172143,453543,591917,476723,71716,255289,438530,337803,121732,272209,133953,329025,696338
N6-Trimethyllysine,HMDB01325,C03793,6533641,3023961,33957909,14839916,3430644,5236661,9992368,12053192,5625352,6014050,26218341,3184909,11910794,3193244,44605834,11691409,15171151,4276228,25479801,24136503,12052575,701670,16938948,7271608,581816,1157926,3530212,3055466,7869645,13101312,2053739,489255,28003840,884972,2205020,5346968,3076179,5468083,7089928,4062107,3808528,3376897,11741159,15865839,10720716,1296045,4290011,8218081,6667106,2089554,6376106,2690517,5560445,10773388
Homocitrulline,HMDB00679,C02427,279775,51455,146496,326347,151736,202622,278890,165007,247985,173867,167901,63188,146276,147106,179739,277484,279668,94034,379120,251230,400098,24988,169855,323051,44949,48031,47663,183677,175978,73000,136854,16335,180903,15588,104235,185763,119283,150691,326198,211242,147152,103688,138102,106687,115222,83538,96234,151392,258119,111730,109344,79782,134157,208300
Caffeine,HMDB01847,C07481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salicylurate,HMDB00840,C07588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL DOPA,HMDB00609,C00355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Selenomethionine,HMDB03966,C05335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dimethylarginine (A/SDMA),HMDB01539/HMDB03334,C03626,15715364,3404441,4409789,11621357,10538535,9483464,8404341,19382784,6260134,9490955,11074904,3299080,6330761,4869353,5777109,8067477,9844287,7990984,18064975,16955196,24086603,863052,21251070,7263616,638450,1509855,3230913,6037927,5972979,2148715,5389935,606351,4096607,675751,2908301,4038345,5861862,7530568,13328226,4530469,3246674,3235871,5994226,7285890,7836888,5104593,4932580,6749026,11008501,3234839,2749887,2299355,8458565,16978324
Spermine,HMDB01256,C00750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indolebutyric Acid,HMDB02096,C11284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine,HMDB00201 ,C02571,56461345,14370803,33873188,69259740,42690211,47044186,63098261,34749694,61118165,31432733,19425435,13956909,39501434,22441596,31391042,59750656,49929483,15943495,60270781,16944142,66109531,3793290,33256817,31697533,2468062,12327533,29171143,46452947,27253976,17517023,38358821,5452652,41508628,5358398,23691477,36356704,48765313,30115966,59838508,37360626,27377236,26002216,23843208,11265072,9896667,22550359,25556193,33186195,35174542,15147041,10999732,8897979,28602855,39728870
Tryptophan,HMDB00929,C00078,3138861,605581,1352585,2245858,1460720,1570403,2849609,1133566,1945844,1304647,1539925,460041,1543506,975152,1645624,2564229,1809256,581513,2834666,2433169,2895238,184451,1458850,2880063,153763,266319,601231,1048900,1492424,735555,964201,106670,1263400,135809,869636,1541753,1060120,1351609,2572213,1393698,1252894,652573,941850,1014065,1111045,792016,1063766,1475153,1486277,772790,724253,690648,964690,1757219
L-Kynurenine,HMDB00684,C00328,162367,34723,132078,116196,101327,91433,139041,40926,161761,141364,42187,27641,41616,166838,237249,133430,108869,24521,197016,81753,340441,12599,85227,283634,21272,61911,25477,74154,52607,63256,56576,7705,131506,3365,71581,59004,52860,110937,249233,127084,68083,320925,88758,26026,48712,55819,87000,59471,143370,108885,60368,45519,54524,93999
Phosphocreatine,HMDB01511,C02305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Arginine,HMDB04620,N/A,2452128,479986,2130448,438532,1742446,143564,3026167,478351,1563355,628705,1693058,292270,158898,425044,2424010,2737876,290016,200793,4525926,1691522,3331016,61229,557394,1698163,57512,296969,90694,88582,329587,996947,123180,110050,2487623,28856,965075,2568106,347501,1041277,2466998,1417448,2040601,518975,2263388,1685504,1085219,957857,975703,949595,2369336,532216,205417,181134,518493,314642
Carnosine,HMDB00033,C00386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2'-Deoxycytidine,HMDB00014,C00881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2'-Deoxyuridine,HMDB0000012,C00526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biopterin,HMDB00468,C06313,305956,95952,147823,247071,264187,228656,190126,259375,199902,237528,183642,84147,174399,129413,206128,186922,232848,67657,326000,242301,305726,25915,234115,221422,22697,59012,89050,204214,128040,77715,152747,17984,162761,34432,71950,90560,131656,288490,308744,149227,96616,98719,145074,115921,99422,129995,175797,138690,176975,80447,77642,42923,113324,142831
Anserine,HMDB00194,C01262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cystine,HMDB00192,C00491,178264,99386,70910,98226,100300,99567,181071,106541,169053,112126,107291,116465,96495,48699,49312,149898,105733,38526,157260,78103,288727,25294,165565,210647,48364,44059,52966,101000,130190,63101,91934,33974,76362,39587,61767,124748,144826,384171,183123,142418,90332,93090,100799,103765,74921,102034,113419,125857,75569,185752,64651,125273,107757,104558
Cytidine,HMDB00089,C00475,1238680,265837,789224,858664,472322,654315,982539,386676,536651,604507,693841,183158,652476,384403,775673,877859,627812,242500,873596,1090680,1237984,70593,772055,1128401,96119,130450,389343,423606,808644,473606,370192,102209,600831,100973,337281,586924,426844,416061,818839,439050,497727,332955,294125,427440,557167,300874,475502,520126,792929,441897,326298,274613,387848,720693
Uridine,HMDB00296,C00299,2025150,497252,1643265,3316136,730888,1374974,2365183,803032,1827588,985745,1286296,361361,1305187,770203,2183312,2143750,2271232,486691,3231263,2762089,2663668,207647,1251625,2271591,173058,221921,493032,1116581,1561643,988695,590358,91334,1489498,99684,769954,1050976,693845,824426,1795602,1142252,966232,425680,1442513,711155,1078623,333089,732830,1599756,1651931,619145,541495,452403,726477,1278954
isoValerylcarnitine,HMDB00688,C20826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Neopterin,HMDB00845,C05926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerophosphocholine,HMDB00086,C00670,23945468,15714458,7668337,24306099,43675314,20947743,32814407,8090226,33902736,14966427,12377449,2864388,11395392,4916347,9120863,14743845,24752839,3142648,38735476,18375516,21915550,2666175,15310290,19927827,1608935,18807508,5627456,12112843,13314624,3324315,9736923,754857,10724124,1253304,33833183,11843478,50694760,23146660,27694175,29845828,10051807,31648584,8971912,7055204,5952205,14878989,15103876,96586811,10717055,11267388,7730187,3280212,32555872,17932209
5-Methylcytidine,HMDB00982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphotyrosine,HMDB06049,C06501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinylcarnitine,HMDB61717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thiamine,HMDB00235,C00378,321261,263940,257898,460350,280461,313881,457733,245289,226027,294126,246536,127993,219379,137889,176034,306987,286261,86212,277948,228396,319693,45303,297672,232845,20462,218465,84703,198460,239438,85606,186733,20365,207126,21780,354533,160468,565963,326317,216507,242138,143104,384020,78388,209837,143050,150449,242804,1051067,125867,194042,106190,68044,371527,275105
2_3-Diphosphoglyceric Acid,HMDB01294,C01159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
