vial,vial_top_number_color,vial_topstripe,vial_bottomstripe,genotype,rapa,food
74,black,black,purple,439,control,75
75,black,red,purple,439,rapa,75
76,black,black,black,443,control,100
77,black,red,black,443,rapa,100
78,black,black,green,443,control,50
79,black,red,green,443,rapa,50
80,black,black,purple,443,control,75
81,black,red,purple,443,rapa,75
82,black,black,black,517,control,100
83,black,red,black,517,rapa,100
84,black,black,green,517,control,50
85,black,red,green,517,rapa,50
86,black,black,purple,517,control,75
87,black,red,purple,517,rapa,75
88,black,black,black,528,control,100
89,black,red,black,528,rapa,100
90,black,black,green,528,control,50
91,black,red,green,528,rapa,50
92,black,black,purple,528,control,75
93,black,red,purple,528,rapa,75
94,black,black,black,535,control,100
95,black,red,black,535,rapa,100
96,black,black,green,535,control,50
97,black,red,green,535,rapa,50
98,black,black,purple,535,control,75
99,black,red,purple,535,rapa,75
1,green,black,black,712,control,100
2,green,red,black,712,rapa,100
3,green,black,green,712,control,50
4,green,red,green,712,rapa,50
5,green,black,purple,712,control,75
6,green,red,purple,712,rapa,75
7,green,black,black,776,control,100
8,green,red,black,776,rapa,100
9,green,black,green,776,control,50
10,green,red,green,776,rapa,50
11,green,black,purple,776,control,75
12,green,red,purple,776,rapa,75
13,green,black,black,820,control,100
14,green,red,black,820,rapa,100
15,green,black,green,820,control,50
16,green,red,green,820,rapa,50
17,green,black,purple,820,control,75
18,green,red,purple,820,rapa,75
19,green,black,black,153,control,100
20,green,red,black,153,rapa,100
21,green,black,green,153,control,50
22,green,red,green,153,rapa,50
23,green,black ? (see pg97),purple,153,control,75
24,green,red,purple,153,rapa,75
25,green,black,black,287,control,100
26,green,red,black,287,rapa,100
27,green,black,green,287,control,50
28,green,red,green,287,rapa,50
29,green,black,black,318,control,100
30,green,red,black,318,rapa,100
31,green,black,green,318,control,50
32,green,red,green,318,rapa,50
33,green,black,purple,318,control,75
34,green,red,purple,318,rapa,75
35,green,black,black,324,control,100
36,green,red,black,324,rapa,100
37,green,black,green,324,control,50
38,green,red,green,324,rapa,50
39,green,black,purple,324,control,75
40,green,red,purple,324,rapa,75
41,green,black,black,441,control,100
42,green,red,black,441,rapa,100
43,green,black,green,441,control,50
44,green,red,green,441,rapa,50
45,green,black,purple,441,control,75
46,green,red,purple,441,rapa,75
47,green,black,black,153,control,100
48,green,red,black,153,rapa,100
49,green,red,green,153,rapa,50
50,green,black,black,287,control,100
51,green,red,black,287,rapa,100
52,green,black,green,287,control,50
53,green,red,green,287,rapa,50
54,green,black,black,318,control,100
55,green,red,black,318,rapa,100
56,green,black,green,318,control,50
57,green,red,green,318,rapa,50
58,green,black,purple,318,control,75
59,green,red,purple,318,rapa,75
60,green,black,black,324,control,100
61,green,red,black,324,rapa,100
62,green,black,green,324,control,50
63,green,red,green,324,rapa,50
64,green,black,purple,324,control,75
65,green,red,purple,324,rapa,75
66,green,red,green,441,rapa,50
67,green,black,green,287,control,50
68,green,red,green,287,rapa,50
69,green,black,black,318,control,100
70,green,red,black,318,rapa,100
71,green,black,green,318,control,50
72,green,red,green,318,rapa,50
73,green,black,black,324,control,100
74,green,red,black,324,rapa,100
75,green,black,green,324,control,50
76,green,black,purple,324,control,75
77,green,red,purple,324,rapa,75
78,green,red,green,441,rapa,50
