vial,vial_color,3_28_10am,3_29_9:30am,3_30_10am,3_31_12pm,4_1_8am,4_2_11am,4_3_10am,4_4_2pm,4_5_12pm,4_6_2pm,4_7_1:30pm,4_10_10am,4_12_10am,4_14_2pm,4_18_10am
13,black,,,,,3,1,1,,,1,,,,,
14,black,,4,17,3,1,,,,,,,,,,
15,black,,,,1,1,1,,1,,,,2,,,
16,black,1,14,6,,,,,,,,,,,,
17,black,,6,2,1,2,,,,,,,,,,
18,black,,,2,3,2,,1,2,,,,,,,
19,black,,,,1,1,,,,,,,,,,
20,black,,3,8,7,,1,,,,,,,,,
21,black,,,,3,1,,1,1,1,,2,,,,
22,black,,,26,10,1,1,,,,,,,,,
23,black,,1,15,6,4,,1,,2,,,,,,
24,black,,,,9,4,6,4,4,1,2,4,,,,
25,black,,,,1,1,6,3,,2,2,,,,,
26,black,,,11,14,4,,,,1,,,,,,
27,black,,,1,3,3,3,,1,,2,,1,1,,
28,black,3,3,8,,,,,,,,,,,,
29,black,,2,8,6,1,1,,,,,,,,,
30,black,,,4,2,3,3,,,,,,,,,
31,black,,,2,3,5,3,1,1,,,,,,,
32,black,1,,6,6,3,,,,,,,,,,
33,black,,,6,2,3,,,,,,,,,,
34,black,4,14,4,,,,,,,,,,,,
35,black,,,,1,2,2,,,,,,,,,
36,black,,,5,7,2,5,,,,,,,,,
37,black,,,,,,,,,,,,1,,,
38,black,,8,7,4,2,,,,,,,,,,
39,black,,,,,,,,,,3,,,,,
40,black,1,12,6,1,2,1,,,,,,,,,
41,black,,5,5,1,,2,,,1,,,,,,
42,black,,,5,5,2,11,3,,,,,,,,
43,black,,,,,,3,2,3,,,,2,1,,
44,black,,9,12,2,1,,,,,,,,,,
45,black,,,,5,1,4,2,,,,,,,,
46,black,1,7,7,3,1,,,,,,,,,,
47,black,,,,2,2,1,,,,,,,,,
48,black,,,,1,1,,3,1,1,,,3,2,,
49,black,,,,,,,,,1,,,,,,
50,black,6,5,5,4,2,,,,,,,,,,
51,black,,,,,,,,,,,,1,2,,
52,black,,,1,5,2,2,,,,,,,,,
53,black,,,,2,4,6,3,,1,,,,,,
54,black,,,,,,1,3,2,,2,,,,,
55,black,,,,,,1,3,1,1,3,,,,,
56,black,,,,7,1,3,,,,1,,,,,
57,black,,,,1,1,3,,1,,,,,,,
58,black,1,9,6,,,1,,1,,,,,,,
59,black,,,,,2,1,3,1,2,,,,,,
60,black,,,,14,6,2,1,,1,,,,,,
61,black,,,,,,,,,,,,,1,,
62,black,,,6,15,1,,,,,,,,,,
63,black,,,,,,2,,,,,1,2,,,
64,black,1,15,12,,,,,,,,,,,,
65,black,2,13,10,2,,,,1,,,,,,,
66,black,,,1,5,3,6,4,1,,3,1,,,,
67,black,,1,,5,5,3,1,,,,,,,,
68,black,,1,13,14,1,1,,,,,,,,,
69,black,,1,14,6,1,,,,,,,,,,
70,black,,16,1,2,,,,,,,,,,,
71,black,,,1,4,3,2,,1,,,,,,,
72,black,,,,,,4,6,1,5,4,,,,,
73,black,,,,,,,,,,,,,,,
74,black,,2,6,6,1,4,,,,,,,,,
75,black,,,,,,,,,1,2,,,1,,
76,black,,,2,2,,1,1,,,,,,,,
77,black,,,,,,,,,,2,,,1,,
78,black,,,,,,,1,,,1,,,,,
79,black,,,,,,,,,,,,,,,
80,black,,,,1,,,2,,1,,,,,,
81,black,,,,,,,,,,,,1,1,,
82,black,,15,11,1,,,,,,,,,,,
83,black,,,,2,,,,2,,,1,,,,
84,black,,,2,14,2,1,,,,,,,,,
85,black,,,,1,1,2,,1,1,1,,,,,
86,black,,3,17,2,1,,,,,,,,,,
87,black,,1,2,1,2,,,,,,,,,,
88,black,2,11,2,,1,,1,,2,1,,,,,
89,black,,2,1,2,1,1,,,,,,,,,
90,black,,1,4,5,2,1,,1,,,,,,,
91,black,,,,1,,,1,1,1,1,,,,,
92,black,,3,3,3,1,2,,,,,,,,,
93,black,,,,,2,2,,,,,,,,,
94,black,,,17,18,1,,,,,,,,,,
95,black,,2,11,11,2,1,,,,,,,,,
96,black,,,,8,5,5,6,3,2,1,,,,,
97,black,,,,,1,4,1,1,,1,1,3,,,
98,black,,,10,12,1,3,,,,,,,,,
99,black,,,8,6,3,3,1,2,,1,,1,,,
1,green,6,8,7,1,,,,,,,,,,,
2,green,1,2,6,1,,,,1,,,,,,,
3,green,,,,8,1,4,,1,,,,,,,
4,green,,,,7,,2,,1,,2,,,,,
5,green,1,1,7,3,1,2,,,,,,,,,
6,green,1,2,7,8,3,1,,,,,,,,,
7,green,,15,2,1,,,,,,,,,,,
8,green,,,,5,2,2,,,,,,,,,
9,green,,,4,5,5,3,2,1,1,,,,,,
10,green,,,,,,,,1,,,,,,,
11,green,1,7,8,4,1,,,,,,,,,,
12,green,,,,,,,,,,,,,,,
13,green,7,10,6,2,,,,,,,,,,,
14,green,,1,12,,,2,1,1,,,,1,,,
15,green,,,1,10,5,3,2,,2,,,,,,
16,green,,,,,,1,2,1,1,2,,1,,,
17,green,,6,9,5,2,1,,,,,,,,,
18,green,,,2,3,1,2,,,1,,1,2,,,
19,green,,1,8,5,,,,,,,,,,,
20,green,2,7,4,3,,2,,,,,,,,,
21,green,,,,2,2,2,3,1,1,,,,,,
22,green,,,2,7,3,6,,,2,1,,1,,,
23,green,,1,4,5,,1,,,,,,,,,
24,green,,,6,5,,3,,,,,,,,,
25,green,,6,11,3,4,,,,,,,,,,
26,green,,,,2,2,1,1,,,,,,,,
27,green,,,,,4,7,6,5,2,2,,,,,
28,green,,,,,,,,1,,,,,,,
29,green,,2,7,15,2,5,,,,,,,,,
30,green,,1,,,1,2,,,2,,,1,,,
31,green,,,,1,5,1,,5,,1,,2,,1,
32,green,,,,,,,,,,,,,,,
33,green,,,2,9,10,7,1,,2,2,,1,,,
34,green,,,,,,,,,1,,,,,1,
35,green,,7,16,7,,,,,,,,,,,
36,green,,3,5,10,3,,1,,,,,,,,
37,green,,,2,5,7,7,,,,,,,,,
38,green,,,,1,,7,1,2,3,3,1,2,,,
39,green,,2,7,14,1,2,,1,1,,,,,,
40,green,,,1,7,7,3,2,4,2,,2,,,,
41,green,7,6,1,,,,,,,,,,,,
42,green,11,6,5,1,,1,,,,,,,,,
43,green,,4,7,6,2,1,,,,,,,,,
44,green,,,4,2,2,,,,1,,,,,,
45,green,3,5,6,1,,1,,,,,,,,,
46,green,8,2,2,,,,1,,,,,,,,
47,green,16,8,1,1,1,,,,,,,,,,
48,green,,10,8,2,2,,,,,,,,,,
49,green,,1,6,1,,,,,1,,,,,,
50,green,,7,11,2,,,,,,,,,,,
51,green,,,,3,2,,,1,,,,,,,
52,green,,,,,3,10,6,7,,,,,,,
53,green,,,,,,,,,1,,,,,,
54,green,,1,8,13,7,3,2,,,,,,,,
55,green,,,,2,,2,1,,,,,,,,
56,green,,,,,1,2,1,5,1,,3,1,,,
57,green,,,,,,,,,,,,,,,
58,green,,,3,9,9,7,,1,1,3,,,,,
59,green,,,,,,,,,,,,,,,
60,green,1,7,12,3,,,,,,,,,,,
61,green,,1,3,21,1,2,,1,,,2,,,,
62,green,,,,,2,9,9,3,,,1,,,,
63,green,,,,,2,5,6,7,1,1,1,4,,1,
64,green,,,5,14,7,1,,,,,,,,,
65,green,,,1,3,7,9,2,,,1,,,,,
66,green,,2,4,4,1,,,1,,,,,,,
67,green,,,,3,5,9,4,3,1,2,,,,,
68,green,,,,,,,,,2,1,,,,,
69,green,,8,15,9,1,,,,,,,,,,
70,green,,,,,3,,1,2,2,,,1,,,
71,green,,,,,2,3,,3,1,1,,1,,,
72,green,,,,,,,,,,,,,,,
73,green,,4,10,5,1,2,,,,,,,,,
74,green,,,11,10,4,1,,,1,1,,,,,
75,green,,,,2,9,9,3,,,,,,,,
76,green,,,10,16,1,1,,1,,1,,,,,
77,green,,,3,4,3,5,2,2,,,,,,,
78,green,,1,4,2,,1,,,,,,,,,
