Sample Name,062618QPJ1,062618QPJ2,062618QPJ3,062618QPJ4,062618QPJ5,062618QPJ6,062618QPJ7,062618QPJ8,062618QPJ9,062618QPJ10,062618QPJ11,062618QPJ12,062618QPJ13,062618QPJ14,062618QPJ15,062618QPJ16,062618QPJ17,062618QPJ18,062618QPJ19,062618QPJ20,062618QPJ21,062618QPJ22,062618QPJ23,062618QPJ24,062618QPJ25
L-arginino-succinate,2675770.129,2999181.718,2972183.255,2762049.903,3567082.911,2951735.22,2948346.789,2489791.676,3179353.309,2721032.128,2280912.002,2077847.575,2574501.897,2852726.6,2552147.922,3190866.7,2092761.057,2713513.655,2638756.918,1902773.861,2304759.419,2272559.753,2004430.379,2014954.996,2231054.527
S-methyl-5-thioadenosine,N/A,54741.90663,N/A,N/A,N/A,N/A,70274.78945,35750.6373,N/A,70649.65651,N/A,N/A,30198.82741,43717.98652,N/A,44987.48273,N/A,20365.27097,N/A,N/A,56651.23085,N/A,N/A,45982.42253,N/A
7-methylguanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20561.11777,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dCMP,89525.4606,80734.48243,54053.38478,55401.80124,51538.90004,41374.1146,28775.13883,45609.67018,34952.66871,39690.64562,31248.80629,34628.49445,44925.44448,33408.88955,44767.93496,42301.87013,42221.74029,31375.13575,34629.84318,37161.77961,28538.77977,20201.58786,19329.46643,30404.48927,40512.90398
glutathione,16374881.09,14199302.29,11361082.69,9073499.53,9145385.113,9700832.706,13966135.18,11305682.85,8446128.005,7871243.364,4031162.452,8363374.576,9725002.738,8006132.61,6022775.194,8993767.222,3978083.117,5859054.199,1981078.781,5556848.988,4131478.412,4278138.343,4116611.53,3474563.25,2841216.509
dTMP,26847.904,27871.34341,18025.93527,16018.81488,9089.661552,N/A,12667.70054,7601.030444,21113.66599,N/A,11962.07629,8413.767586,N/A,3359.577093,4268.719866,N/A,7735.700795,N/A,N/A,8440.660795,9920.653426,3343.490647,N/A,6518.289945,4223.548034
CMP,944404.0782,784394.8131,550396.5315,769986.8062,579113.5939,744919.4053,869889.5514,709896.219,893194.7322,846556.8059,593029.6103,672866.9055,533301.0897,658694.9987,681421.0443,640980.713,441751.7133,616937.1389,537952.9473,443409.4412,486983.8137,329838.5211,418907.1028,436642.3758,514157.6283
UMP,329878.4874,517105.9602,341337.4821,426883.7727,432252.2389,442046.5825,282057.9192,251590.5408,203779.8359,507520.7681,353868.3849,272497.3429,345303.7114,339608.8337,206754.4172,154352.9662,126504.2489,458980.3425,319392.9018,124945.7084,267357.3924,150745.6025,134418.1393,277595.2692,242134.1436
dAMP,166330.5737,196825.8848,112091.4145,152983.3724,130623.2955,203780.8502,185139.8801,179524.9818,208459.0918,264232.2667,148850.4491,217739.5394,242200.9197,97861.00765,176916.3712,179853.3678,170291.2983,113708.0648,140401.3955,218620.5373,170493.3345,150408.6742,122217.3126,121210.599,133430.08
Nicotinamide ribotide,426672.7027,525553.8278,483833.9655,440114.1863,226491.9684,425501.11,644876.7014,531668.3333,615897.7151,600034.3035,368280.2408,320588.4226,320366.8473,497187.4688,322651.4702,161428.8859,348832.2741,370075.9192,135679.4468,308547.9617,293530.3684,234764.445,264656.4686,108222.3917,282333.0103
